producto,marca,grupo,categoria,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
Papas Fritas LAY'S Stax Barbacoa 155 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,51277,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-lays-stax-barbacoa-155-g.producto?51277,,42"
Papas Fritas MC CAIN Horneables Corte Tradicional 700 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1564065,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-mc-cain-horneables-corte-tradicional-700-gr.producto?1564065,,42"
Papas Fritas PRINGLES sabor Original Mega Can 194 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1544965,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-pringles-sabor-original-mega-can-194-gr.producto?1544965,,42"
Papas Fritas RUFFLES Original 230 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1522880,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-ruffles-original-230-gr.producto?1522880,,42"
Papas Fritas RUFFLES Sabor Original 135 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,242946,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-ruffles-sabor-original-135-gr.producto?242946,,42"
Papas Fritas Tipo Casera TIENDA INGLESA (Kg) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,286622,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-tipo-casera-tienda-inglesa-kg.producto?286622,,42"
Papas Horneables MCCAIN Estilo Artesanal 700 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1587154,"https://www.tiendainglesa.com.uy/supermercado/papas-horneables-mccain-estilo-artesanal-700-gr.producto?1587154,,42"
Papas LAY'S Rústicas 105 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1566779,"https://www.tiendainglesa.com.uy/supermercado/papas-lays-rusticas-105-gr.producto?1566779,,42"
Papas LAY'S Rústicas 160 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1566777,"https://www.tiendainglesa.com.uy/supermercado/papas-lays-rusticas-160-gr.producto?1566777,,42&campaign=RM-UZBMMb99IkhIc0ylWEVCMcUDiPj4OPiAd0OQTzMjvwzsfvK13fLwNk2thqXfifSxYQEeTUXpG0mOSz3NjC0BCrXwaiQNu8m1sYjyS4zx4jO4QKpdUYHTCbQIqsil7EJKKSC45TlKNR0OsGwsqx7nh4O7l0uvk0vfQnqmKaHN3eAkR09V5awotN4Pewfbd3P8sKZW1J41"
Papas LAY'S sin Sal 137 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1552634,"https://www.tiendainglesa.com.uy/supermercado/papas-lays-sin-sal-137-gr.producto?1552634,,42"
Papas McCAIN Noisettes 1.2 kg,artico,artico,,263,439,,,,,,disco,241563,https://www.disco.com.uy/product/papas-mccain-noisettes-1-2-kg/241563
Papas McCAIN Noisettes Finas Hierbas 600 g,artico,artico,,264,,,,,,,disco,241667,https://www.disco.com.uy/product/papas-mccain-noisettes-finas-hierbas-600-g/241667
"Papas McCain smile 1,5 kg",artico,artico,,647,,,,,,,disco,237097,https://www.disco.com.uy/product/papas-mccain-smile-1-5-kg/237097
Papas McCAIN Smiles 700 g,artico,artico,,219,,,,,,,disco,241564,https://www.disco.com.uy/product/papas-mccain-smiles-700-g/241564
Papas Noisette Fritas TIENDA INGLESA (Kg) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,113,"https://www.tiendainglesa.com.uy/supermercado/papas-noisette-fritas-tienda-inglesa-kg.producto?113,,42"
Papas Noisette MC CAIN 600 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1571768,"https://www.tiendainglesa.com.uy/supermercado/papas-noisette-mc-cain-600-g.producto?1571768,,42"
Papas Noisette MC CAIN Finas Hierbas 600 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1576707,"https://www.tiendainglesa.com.uy/supermercado/papas-noisette-mc-cain-finas-hierbas-600-g.producto?1576707,,42"
Papas Noisettes Congeladas OERLEMANS 1 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,535,"https://www.tiendainglesa.com.uy/supermercado/papas-noisettes-congeladas-oerlemans-1-kg.producto?535,,42"
Papas pay stack 250 g,artico,artico,,159,199,,,,,,disco,981155,https://www.disco.com.uy/product/papas-pay-stack-250-g/981155
Papas Pre Fritas en Bastón CRUFI 2 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1484813,"https://www.tiendainglesa.com.uy/supermercado/papas-pre-fritas-en-baston-crufi-2-kg.producto?1484813,,42"
Papas PRINGLES Cebolla 109 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1576740,"https://www.tiendainglesa.com.uy/supermercado/papas-pringles-cebolla-109-gr.producto?1576740,,42"
Papas PRINGLES Original 104 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1576739,"https://www.tiendainglesa.com.uy/supermercado/papas-pringles-original-104-gr.producto?1576739,,42"
Papas rosti POMUNI 1 kg,artico,artico,,219,,,,,,,disco,241380,https://www.disco.com.uy/product/papas-rosti-pomuni-1-kg/241380
Papas Rostis Bites Queso y Panceta 350 g,artico,artico,,402,,,,,,,disco,241785,https://www.disco.com.uy/product/papas-rostis-bites-queso-y-panceta-350-g/241785
Papas Rostis Congeladas para Hornear OERLEMANS 750 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1942,"https://www.tiendainglesa.com.uy/supermercado/papas-rostis-congeladas-para-hornear-oerlemans-750-gr.producto?1942,,42"
Papas Rústicas con Sal Marina TIENDA INGLESA PREMIUM 120 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,372681,"https://www.tiendainglesa.com.uy/supermercado/papas-rusticas-con-sal-marina-tienda-inglesa-premium-120-gr.producto?372681,,42"
Papas rusticas sin sal PRECIO LÍDER 100 g,artico,artico,,115,144,,,,,,disco,345420,https://www.disco.com.uy/product/papas-rusticas-sin-sal-precio-lider-100-g/345420
Papas Rústicas sin Sal TIENDA INGLESA PREMIUM 120 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,372682,"https://www.tiendainglesa.com.uy/supermercado/papas-rusticas-sin-sal-tienda-inglesa-premium-120-gr.producto?372682,,42"
Papas rusticas Wedges x 200 g aprox,artico,artico,,100,499,,,,,,disco,110447,https://www.disco.com.uy/product/papas-rusticas-wedges-x-200-g-aprox/110447
Papas Smiles MC CAIN 700 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1571767,"https://www.tiendainglesa.com.uy/supermercado/papas-smiles-mc-cain-700-gr.producto?1571767,,42"
Papas steakhouse x 100g,artico,artico,,29,289,,,,,,disco,110417,https://www.disco.com.uy/product/papas-steakhouse-x-100g/110417
Papas Waves con Pimienta negra WERNSING 600 g,artico,artico,,229,,,,,,,disco,234418,https://www.disco.com.uy/product/papas-waves-con-pimienta-negra-wernsing-600-g/234418
Papas y boniatos DE LA TIERRA sin sal 120 g,artico,artico,,154,192,,,,,,disco,573785,https://www.disco.com.uy/product/papas-y-boniatos-de-la-tierra-sin-sal-120-g/573785
Papel Higiénico ELITE Suave y Resistente 24 Rollos x 30 mts en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1551352,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-suave-y-resistente-24-rollos-x-30-mts.producto?1551352,,42&campaign=search_facets"
Papel Higiénico ELITE Ultra 12 Rollos x 30 mts en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,340366,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-ultra-12-rollos-x-30-mts.producto?340366,,42&campaign=search_facets"
Papel Higiénico ELITE Ultra Doble Hoja 4 Rollos x 50 mts en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,351572,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-ultra-doble-hoja-4-rollos-x-50-mts.producto?351572,,42&campaign=search_facets"
Papel Higiénico HIGIENOL Premium 8x6 Rollos x 30 mts en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,409943,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-premium-8x6-rollos-x-30-mts.producto?409943,,42&campaign=search_facets"
Papel Higiénico TIENDA INGLESA Doble Hoja 4 Rollos x 30 mts en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,7128,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-tienda-inglesa-doble-hoja-4-rollos-x-30-mts.producto?7128,,42&campaign=search_facets"
Papin en bandeja x 1 kg,artico,artico,,109,109,,,,,,disco,412162,https://www.disco.com.uy/product/papin-en-bandeja-x-1-kg/412162
Parrila para pescado WAYU,artico,artico,,639,,,,,,,disco,366022,https://www.disco.com.uy/product/parrila-para-pescado-wayu/366022
Parrilla 42x9 cm para pescado de acero inoxidable,artico,artico,,99,,,,,,,disco,582578,https://www.disco.com.uy/product/parrilla-42x9-cm-para-pescado-de-acero-inoxidable/582578
Parrilla Plegable en Metal para Pescado,artico,artico,,255,,,,,,,disco,366195,https://www.disco.com.uy/product/parrilla-plegable-en-metal-para-pescado/366195
Pechuga Rebozadas Pollo en bandeja x 100 g,artico,artico,,51,509,,,,,,disco,110554,https://www.disco.com.uy/product/pechuga-rebozadas-pollo-en-bandeja-x-100-g/110554
Pizza 4 Quesos Masamadre FRESH MARKET,artico,artico,,599,,,,,,,disco,110256,https://www.disco.com.uy/product/pizza-4-quesos-masamadre-fresh-market/110256
Pizza 4 Quesos TIENDA INGLESA 42 cm en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1011484,"https://www.tiendainglesa.com.uy/supermercado/pizza-4-quesos-tienda-inglesa-42-cm.producto?1011484,,42"
Pizza a la Piedra con Muzzarella SIBARITA x 1 Unidad 470 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,9218,"https://www.tiendainglesa.com.uy/supermercado/pizza-a-la-piedra-con-muzzarella-sibarita-x-1-unidad-470-gr.producto?9218,,42"
Pizza a la Piedra LA ESPECIALISTA Jamón Congelada 500 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1599128,"https://www.tiendainglesa.com.uy/supermercado/pizza-a-la-piedra-la-especialista-jamon-congelada-500-gr.producto?1599128,,42"
Pizza a la Piedra LA ESPECIALISTA Muzzarella Congelada 480 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1022272,"https://www.tiendainglesa.com.uy/supermercado/pizza-a-la-piedra-la-especialista-muzzarella-congelada-480-gr.producto?1022272,,42"
Pizza Aceituna Masamadre FRESH MARKET,artico,artico,,499,,,,,,,disco,110789,https://www.disco.com.uy/product/pizza-aceituna-masamadre-fresh-market/110789
Pizza al Taglio TIENDA INGLESA Capresse (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1017613,"https://www.tiendainglesa.com.uy/supermercado/pizza-al-taglio-tienda-inglesa-capresse-1-un..producto?1017613,,42"
Pizza al Taglio TIENDA INGLESA Cuatro Quesos (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1017240,"https://www.tiendainglesa.com.uy/supermercado/pizza-al-taglio-tienda-inglesa-cuatro-quesos-1-un..producto?1017240,,42"
Pizza al Taglio TIENDA INGLESA Hongos a la Provenza (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1017242,"https://www.tiendainglesa.com.uy/supermercado/pizza-al-taglio-tienda-inglesa-hongos-a-la-provenza-1-un..producto?1017242,,42"
Pizza al Taglio TIENDA INGLESA Margarita (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1017215,"https://www.tiendainglesa.com.uy/supermercado/pizza-al-taglio-tienda-inglesa-margarita-1-un..producto?1017215,,42"
Pizza al Taglio TIENDA INGLESA Pollo y Queso Crema (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1017237,"https://www.tiendainglesa.com.uy/supermercado/pizza-al-taglio-tienda-inglesa-pollo-y-queso-crema-1-un..producto?1017237,,42"
Pizza BUFFET Italiana 900 gr + COCA-COLA Light 2.25 L en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1566205,"https://www.tiendainglesa.com.uy/supermercado/pizza-buffet-italiana-900-gr-mas-coca-cola-light-2.25-l.producto?1566205,,42"
Pizza BUFFET Italiana 900 gr + COCA-COLA sin Azúcar 2.25 L en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1566208,"https://www.tiendainglesa.com.uy/supermercado/pizza-buffet-italiana-900-gr-mas-coca-cola-sin-azucar-2.25-l.producto?1566208,,42"
Pizza CELISANO con Muzzarella sin gluten 340 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1596442,"https://www.tiendainglesa.com.uy/supermercado/pizza-celisano-con-muzzarella-sin-gluten-340-gr.producto?1596442,,42"
Pizza con Jamón Masamadre FRESH MARKET,artico,artico,,599,,,,,,,disco,110258,https://www.disco.com.uy/product/pizza-con-jamon-masamadre-fresh-market/110258
Pizza con Muzzarella Masa Madre CONAPROLE 2 un. 900 g,artico,artico,,546,,,,,,,disco,242081,https://www.disco.com.uy/product/pizza-con-muzzarella-masa-madre-conaprole-2-un-900-g/242081
Pizza con Muzzarella Masa Madre CONAPROLE 3 un. 600 g,artico,artico,,438,,,,,,,disco,242082,https://www.disco.com.uy/product/pizza-con-muzzarella-masa-madre-conaprole-3-un-600-g/242082
Pizza con Muzzarella SADIA 440 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1524031,"https://www.tiendainglesa.com.uy/supermercado/pizza-con-muzzarella-sadia-440-gr.producto?1524031,,42"
Pizza con muzzarella y cebolla x un,artico,artico,,199,,,,,,,disco,137906,https://www.disco.com.uy/product/pizza-con-muzzarella-y-cebolla-x-un/137906
Pizza con Muzzarella y Tomate Pack Familiar SIBARITA 2 Unidades 940 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,6527,"https://www.tiendainglesa.com.uy/supermercado/pizza-con-muzzarella-y-tomate-pack-familiar-sibarita-2-unidades-940-gr.producto?6527,,42"
Pizza CONAPROLE de Masa Madre con Muzzarella 508 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1585031,"https://www.tiendainglesa.com.uy/supermercado/pizza-conaprole-de-masa-madre-con-muzzarella-508-gr.producto?1585031,,42"
Pizza Congelada SANOSINHARINA 360 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,303943,"https://www.tiendainglesa.com.uy/supermercado/pizza-congelada-sanosinharina-360-gr.producto?303943,,42"
Pizza Congelada ZEN sabor Hongos 520 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1595817,"https://www.tiendainglesa.com.uy/supermercado/pizza-congelada-zen-sabor-hongos-520-gr.producto?1595817,,42"
Pizza Congelada ZEN sabor Margarita 550 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1595819,"https://www.tiendainglesa.com.uy/supermercado/pizza-congelada-zen-sabor-margarita-550-gr.producto?1595819,,42"
Pizza Congelada ZEN sabor Muzzarella 490 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1595816,"https://www.tiendainglesa.com.uy/supermercado/pizza-congelada-zen-sabor-muzzarella-490-gr.producto?1595816,,42"
Pizza Congelada ZEN sabor Provolone 505 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1595818,"https://www.tiendainglesa.com.uy/supermercado/pizza-congelada-zen-sabor-provolone-505-gr.producto?1595818,,42"
Pizza de Muzarella CELILIFE 420 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1519200,"https://www.tiendainglesa.com.uy/supermercado/pizza-de-muzarella-celilife-420-gr.producto?1519200,,42"
Pizza DOS ORIENTALES margarita 413 g,artico,artico,,483,,,,,,,disco,280010,https://www.disco.com.uy/product/pizza-dos-orientales-margarita-413-g/280010
Pizza DOS ORIENTALES pepperoni 415 g,artico,artico,,496,,,,,,,disco,280011,https://www.disco.com.uy/product/pizza-dos-orientales-pepperoni-415-g/280011
Pizza Figazza DOS ORIENTALES con Queso 425 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1587281,"https://www.tiendainglesa.com.uy/supermercado/pizza-figazza-dos-orientales-con-queso-425-gr.producto?1587281,,42"
Pizza Hongos y Pesto Masamadre FRESH MARKET,artico,artico,,629,,,,,,,disco,110260,https://www.disco.com.uy/product/pizza-hongos-y-pesto-masamadre-fresh-market/110260
Pizza Italiana BUFFET Pronta para Calentar y Servir con 2 Unidades 900... en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,14503,"https://www.tiendainglesa.com.uy/supermercado/pizza-italiana-buffet-pronta-para-calentar-y-servir-con-2-unidades-900-gr.producto?14503,,42"
Pizza Italiana TIENDA INGLESA (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,23239,"https://www.tiendainglesa.com.uy/supermercado/pizza-italiana-tienda-inglesa-1-un..producto?23239,,42"
Pizza Jamón Crudo y Rúcula Masamadre FRESH MARKET,artico,artico,,629,,,,,,,disco,110083,https://www.disco.com.uy/product/pizza-jamon-crudo-y-rucula-masamadre-fresh-market/110083
Pizza Margarita Congelada DOS ORIENTALES 413 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1511704,"https://www.tiendainglesa.com.uy/supermercado/pizza-margarita-congelada-dos-orientales-413-gr.producto?1511704,,42"
Pizza Margarita Masamadre FRESH MARKET,artico,artico,,639,,,,,,,disco,110257,https://www.disco.com.uy/product/pizza-margarita-masamadre-fresh-market/110257
Pizza mix de quesos SADIA 440 g,artico,artico,,303,,,,,,,disco,241688,https://www.disco.com.uy/product/pizza-mix-de-quesos-sadia-440-g/241688
Pizza Mix de Quesos SADIA 440 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1524032,"https://www.tiendainglesa.com.uy/supermercado/pizza-mix-de-quesos-sadia-440-gr.producto?1524032,,42"
Pizza muzarella 30 cm,artico,artico,,299,,,,,,,disco,110800,https://www.disco.com.uy/product/pizza-muzarella-30-cm/110800
Pizza Muzarella EKONO x 2 un. caja 900 g,artico,artico,,513,,,,,,,disco,210426,https://www.disco.com.uy/product/pizza-muzarella-ekono-x-2-un-caja-900-g/210426
Pizza Muzza y Calabresa CONAPROLE x 1 490 g,artico,artico,,429,,,,,,,disco,242126,https://www.disco.com.uy/product/pizza-muzza-y-calabresa-conaprole-x-1-490-g/242126
Pizza Muzzarella con Jamón LA ESPECIALISTA 500 g,artico,artico,,441,,,,,,,disco,236034,https://www.disco.com.uy/product/pizza-muzzarella-con-jamon-la-especialista-500-g/236034
Pizza Muzzarella con Jamón y Aceitunas TIENDA INGLESA 42 cm en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1011485,"https://www.tiendainglesa.com.uy/supermercado/pizza-muzzarella-con-jamon-y-aceitunas-tienda-inglesa-42-cm.producto?1011485,,42"
Pizza Muzzarella con Pepperoni TIENDA INGLESA 42 cm en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1011482,"https://www.tiendainglesa.com.uy/supermercado/pizza-muzzarella-con-pepperoni-tienda-inglesa-42-cm.producto?1011482,,42"
Pizza Muzzarella CONAPROLE Masa Madre 2 Unidades x 450 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1582914,"https://www.tiendainglesa.com.uy/supermercado/pizza-muzzarella-conaprole-masa-madre-2-unidades-x-450-gr.producto?1582914,,42"
Pizza Muzzarella CONAPROLE Masa Madre 3 x 200 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1582915,"https://www.tiendainglesa.com.uy/supermercado/pizza-muzzarella-conaprole-masa-madre-3-x-200-gr.producto?1582915,,42"
Pizza Muzzarella CONAPROLE Masa Madre 508 g,artico,artico,,383,,,,,,,disco,242090,https://www.disco.com.uy/product/pizza-muzzarella-conaprole-masa-madre-508-g/242090
Pizza Muzzarella LA ESPECIALISTA 480 g,artico,artico,,390,,,,,,,disco,236033,https://www.disco.com.uy/product/pizza-muzzarella-la-especialista-480-g/236033
Pizza Muzzarella LA ESPECIALISTA a la Piedra Congelada (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1604479,"https://www.tiendainglesa.com.uy/supermercado/pizza-muzzarella-la-especialista-a-la-piedra-congelada-2-un..producto?1604479,,42"
Pizza Muzzarella LA ESPECIALISTA x 2 un. 960 g,artico,artico,,646,,,,,,,disco,236035,https://www.disco.com.uy/product/pizza-muzzarella-la-especialista-x-2-un-960-g/236035
Pizza Muzzarella LA SIBARITA con Jamón x 1 Unidad 530 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,177708,"https://www.tiendainglesa.com.uy/supermercado/pizza-muzzarella-la-sibarita-con-jamon-x-1-unidad-530-gr.producto?177708,,42"
Pizza Muzzarella Masamadre FRESH MARKET,artico,artico,,439,,,,,,,disco,110085,https://www.disco.com.uy/product/pizza-muzzarella-masamadre-fresh-market/110085
Pizza muzzarella RODELÚ x2 1.1 kg,artico,artico,,505,,,,,,,disco,236798,https://www.disco.com.uy/product/pizza-muzzarella-rodelu-x2-1-1-kg/236798
Pizza muzzarella SADIA 440 g,artico,artico,,303,,,,,,,disco,241687,https://www.disco.com.uy/product/pizza-muzzarella-sadia-440-g/241687
Pizza muzzarella Sibarita 2 un. 940 g,artico,artico,,529,,,,,,,disco,269529,https://www.disco.com.uy/product/pizza-muzzarella-sibarita-2-un-940-g/269529
Pizza Muzzarella TIENDA INGLESA 42 cm en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1011483,"https://www.tiendainglesa.com.uy/supermercado/pizza-muzzarella-tienda-inglesa-42-cm.producto?1011483,,42"
Pizza Napolitana en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,102902,"https://www.tiendainglesa.com.uy/supermercado/pizza-napolitana.producto?102902,,42"
Pizza napolitana panceta SARUBBI 450 g,artico,artico,,559,,,,,,,disco,241292,https://www.disco.com.uy/product/pizza-napolitana-panceta-sarubbi-450-g/241292
Pizza Panceta Masamadre FRESH MARKET,artico,artico,,599,,,,,,,disco,110255,https://www.disco.com.uy/product/pizza-panceta-masamadre-fresh-market/110255
Pizza Panceta y Cheddar Masamadre FRESH MARKET,artico,artico,,629,,,,,,,disco,110262,https://www.disco.com.uy/product/pizza-panceta-y-cheddar-masamadre-fresh-market/110262
Pizza Pepperoni Congelada DOS ORIENTALES 435 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1511714,"https://www.tiendainglesa.com.uy/supermercado/pizza-pepperoni-congelada-dos-orientales-435-gr.producto?1511714,,42"
Pizza Pepperoni Masamadre FRESH MARKET,artico,artico,,499,,,,,,,disco,110259,https://www.disco.com.uy/product/pizza-pepperoni-masamadre-fresh-market/110259
Pizza Rectangular con Muzzarella,artico,artico,,389,,,,,,,disco,110855,https://www.disco.com.uy/product/pizza-rectangular-con-muzzarella/110855
Pizza SANOSINHARINA sin Gluten 90 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,95859,"https://www.tiendainglesa.com.uy/supermercado/pizza-sanosinharina-sin-gluten-90-gr.producto?95859,,42"
Pizza Sanosinharina,artico,artico,,135,,,,,,,disco,137521,https://www.disco.com.uy/product/pizza-sanosinharina/137521
Pizza sin gluten familiar x un.,artico,artico,,349,,,,,,,disco,137904,https://www.disco.com.uy/product/pizza-sin-gluten-familiar-x-un/137904
Pizza TIENDA INGLESA Cheddar y Bacon 42 cm en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1011480,"https://www.tiendainglesa.com.uy/supermercado/pizza-tienda-inglesa-cheddar-y-bacon-42-cm.producto?1011480,,42"
Pizza TIENDA INGLESA Miel y Queso Azul 42 cm en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,204569,"https://www.tiendainglesa.com.uy/supermercado/pizza-tienda-inglesa-miel-y-queso-azul-42-cm.producto?204569,,42"
Pizza Vegana Congelada DOS ORIENTALES 415 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1511715,"https://www.tiendainglesa.com.uy/supermercado/pizza-vegana-congelada-dos-orientales-415-gr.producto?1511715,,42"
Pizza Vegetariana Masamadre FRESH MARKET,artico,artico,,629,,,,,,,disco,110261,https://www.disco.com.uy/product/pizza-vegetariana-masamadre-fresh-market/110261
Pizza ZEN Margarita 550 g,artico,artico,,699,,,,,,,disco,221606,https://www.disco.com.uy/product/pizza-zen-margarita-550-g/221606
Pizzeta RODELÚ muzzarella + pizza con salsa 975 g,artico,artico,,397,,,,,,,disco,254779,https://www.disco.com.uy/product/pizzeta-rodelu-muzzarella-pizza-con-salsa-975-g/254779
Plato para Pizza Redonda 37 cm + Cortador de acero roller,artico,artico,,799,,,,,,,disco,304314,https://www.disco.com.uy/product/plato-para-pizza-redonda-37-cm-cortador-de-acero-roller/304314
Porciones De Salmón Con Piel Aqua 500 Gr,artico,artico,,829,829,,,,,,tata,169948,https://www.tata.com.uy/porciones-de-salmon-con-piel-aqua-500-gr-169948/p
Premezcla pizza CAÑUELAS 450 g,artico,artico,,90,,,,,,,disco,472597,https://www.disco.com.uy/product/premezcla-pizza-canuelas-450-g/472597
Prensa para hamburguesa 12 cm WAYU,artico,artico,,690,,,,,,,disco,354253,https://www.disco.com.uy/product/prensa-para-hamburguesa-12-cm-wayu/354253
Prensa para Hamburguesa TRAMONTINA,artico,artico,,329,,,,,,,disco,306993,https://www.disco.com.uy/product/prensa-para-hamburguesa-tramontina/306993
Puerro Atado 2 un.,artico,artico,,79,,,,,,,disco,420005,https://www.disco.com.uy/product/puerro-atado-2-un/420005
Pulpa Artico De Camaron Congelado Bandeja 300Gr,artico,artico,,329,329,,,,,,eldorado,19637,https://www.eldorado.com.uy/pulpa-artico-de-camaron-congelado-bandeja-300gr/p
Pulpa Artico De Mejillon Congelado Bandeja 400Gr,artico,artico,,249.9,249.9,,,,,,eldorado,19638,https://www.eldorado.com.uy/pulpa-artico-de-mejillon-congelado-bandeja-400gr/p
Pulpa Artico De Mejillones 1Kg,artico,artico,,519,519,,,,,,eldorado,3628,https://www.eldorado.com.uy/pulpa-artico-de-mejillones-1kg/p
Pulpa P Milanesas Cerdo al vacío CAMPOSUR x 500 g,artico,artico,,210,,,,,,,disco,374160,https://www.disco.com.uy/product/pulpa-p-milanesas-cerdo-al-vacio-camposur-x-500-g/374160
Pulpito 120 g,artico,artico,,305,,,,,,,disco,342804,https://www.disco.com.uy/product/pulpito-120-g/342804
Puré de papas GOURMET con finas hierbas 120 g,artico,artico,,105,,,,,,,disco,346666,https://www.disco.com.uy/product/pure-de-papas-gourmet-con-finas-hierbas-120-g/346666
Puré de papas KNORR receta completa 125 g,artico,artico,,133,,,,,,,disco,573393,https://www.disco.com.uy/product/pure-de-papas-knorr-receta-completa-125-g/573393
Puré de papas LIDER 120 g,artico,artico,,35,,,,,,,disco,704291,https://www.disco.com.uy/product/pure-de-papas-lider-120-g/704291
Queso Muzzarella CONAPROLE (Kg) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1097368,"https://www.tiendainglesa.com.uy/supermercado/queso-muzzarella-conaprole-kg.producto?1097368,,42&campaign=search_facets"
Rabas de calamar rebozadas 500g,artico,artico,,195,,,,,,,disco,390392,https://www.disco.com.uy/product/rabas-de-calamar-rebozadas-500g/390392
