producto,marca,grupo,categoria,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
Empanada vegetariana x un.,artico,artico,,115,,,,,,,disco,137301,https://www.disco.com.uy/product/empanada-vegetariana-x-un/137301
Empanadas BLÉ de Carne Horneadas y Congeladas (6 un.) 480 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,395687,"https://www.tiendainglesa.com.uy/supermercado/empanadas-ble-de-carne-horneadas-y-congeladas-6-un.-480-g.producto?395687,,42"
Empanadas BLÉ de Carne y Aceitunas Horneadas y Congeladas (6 un.) 456... en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,395766,"https://www.tiendainglesa.com.uy/supermercado/empanadas-ble-de-carne-y-aceitunas-horneadas-y-congeladas-6-un.-456-g.producto?395766,,42"
Empanadas BLÉ de Espinaca y Queso Horneadas y Congeladas (6 un.) 480 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,395770,"https://www.tiendainglesa.com.uy/supermercado/empanadas-ble-de-espinaca-y-queso-horneadas-y-congeladas-6-un.-480-g.producto?395770,,42"
Empanadas BLÉ de Jamón y Queso Horneadas y Congeladas (6 un.) 480 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,395765,"https://www.tiendainglesa.com.uy/supermercado/empanadas-ble-de-jamon-y-queso-horneadas-y-congeladas-6-un.-480-g.producto?395765,,42"
Empanadas BLÉ Jamón y Queso y Carne Horneadas y Congeladas (10 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1489271,"https://www.tiendainglesa.com.uy/supermercado/empanadas-ble-jamon-y-queso-y-carne-horneadas-y-congeladas-10-un..producto?1489271,,42"
Empanadas BLÉ Mix de Carne y Jamón y Queso Horneadas y Congeladas (6 u... en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,395771,"https://www.tiendainglesa.com.uy/supermercado/empanadas-ble-mix-de-carne-y-jamon-y-queso-horneadas-y-congeladas-6-un.-480-g.producto?395771,,42"
Empanadas BLÉ Mix de Espinaca y Queso y Carne Horneadas y Congeladas (... en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1505617,"https://www.tiendainglesa.com.uy/supermercado/empanadas-ble-mix-de-espinaca-y-queso-y-carne-horneadas-y-congeladas-10-un..producto?1505617,,42"
Empanadas carne HAMBY 9 un.,artico,artico,,512,,,,,,,disco,234008,https://www.disco.com.uy/product/empanadas-carne-hamby-9-un/234008
Empanadas carne HAMBY x 3 un. 210 g,artico,artico,,206,,,,,,,disco,241298,https://www.disco.com.uy/product/empanadas-carne-hamby-x-3-un-210-g/241298
Empanadas carne y panceta SARUBBI x 5 350 g,artico,artico,,438,,,,,,,disco,241658,https://www.disco.com.uy/product/empanadas-carne-y-panceta-sarubbi-x-5-350-g/241658
Empanadas Congeladas CRUFI de Carne x 6 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,418821,"https://www.tiendainglesa.com.uy/supermercado/empanadas-congeladas-crufi-de-carne-x-6-unidades.producto?418821,,42"
Empanadas Congeladas CRUFI de Jamón y Queso x 6 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,418822,"https://www.tiendainglesa.com.uy/supermercado/empanadas-congeladas-crufi-de-jamon-y-queso-x-6-unidades.producto?418822,,42"
Empanadas Congeladas CRUFI de Queso y Aceitunas x 6 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,418823,"https://www.tiendainglesa.com.uy/supermercado/empanadas-congeladas-crufi-de-queso-y-aceitunas-x-6-unidades.producto?418823,,42"
Empanadas criollas HAMBY x 3 un. 210 g,artico,artico,,206,,,,,,,disco,241058,https://www.disco.com.uy/product/empanadas-criollas-hamby-x-3-un-210-g/241058
Empanadas de Carne PANGIORNO x6 en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1552320,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-carne-pangiorno-x6.producto?1552320,,42"
Empanadas de Carne sin Gluten HELIX 2 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,313725,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-carne-sin-gluten-helix-2-unidades.producto?313725,,42"
Empanadas de Carne Suave PAGNIFIQUE x 3 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,383535,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-carne-suave-pagnifique-x-3-unidades.producto?383535,,42"
Empanadas de Carne TIENDA INGLESA (6 un.) 420 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1545467,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-carne-tienda-inglesa-6-un.-420-g.producto?1545467,,42"
Empanadas de Carne y Queso Cheddar POLAR FOOD x 3 un. 210 g,artico,artico,,179,,,,,,,disco,212033,https://www.disco.com.uy/product/empanadas-de-carne-y-queso-cheddar-polar-food-x-3-un-210-g/212033
Empanadas de Carne y Queso POLAR FOOD (3 un.) 70 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1585034,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-carne-y-queso-polar-food-3-un.-70-g.producto?1585034,,42"
Empanadas de Carne y Queso POLAR FOOD x 6 un. 420 g,artico,artico,,299,,,,,,,disco,212031,https://www.disco.com.uy/product/empanadas-de-carne-y-queso-polar-food-x-6-un-420-g/212031
Empanadas de Espinaca y Queso HAMBY x 3 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1535427,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-espinaca-y-queso-hamby-x-3-unidades.producto?1535427,,42"
Empanadas de Espinaca y Queso PAGNIFIQUE x 3 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,384059,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-espinaca-y-queso-pagnifique-x-3-unidades.producto?384059,,42"
Empanadas de Espinaca y Queso TIENDA INGLESA (6 un.) 420 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1545472,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-espinaca-y-queso-tienda-inglesa-6-un.-420-g.producto?1545472,,42"
Empanadas de Jamón y Choclo PAGNIFIQUE x 3 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,384107,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-jamon-y-choclo-pagnifique-x-3-unidades.producto?384107,,42"
Empanadas de Jamón y Queso PAGNIFIQUE x 3 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,383534,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-jamon-y-queso-pagnifique-x-3-unidades.producto?383534,,42"
Empanadas de Jamon y Queso PANGIORNO x6 en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1552318,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-jamon-y-queso-pangiorno-x6.producto?1552318,,42"
Empanadas de Jamón y Queso POLAR FOOD x 3 un. 210 g,artico,artico,,179,,,,,,,disco,212036,https://www.disco.com.uy/product/empanadas-de-jamon-y-queso-polar-food-x-3-un-210-g/212036
Empanadas de Jamón y Queso sin Gluten HELIX 2 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,313724,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-jamon-y-queso-sin-gluten-helix-2-unidades.producto?313724,,42"
Empanadas de Jamón y Queso TIENDA INGLESA (6 un.) 420 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1545471,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-jamon-y-queso-tienda-inglesa-6-un.-420-g.producto?1545471,,42"
Empanadas de Pollo PAGNIFIQUE x 3 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,384108,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-pollo-pagnifique-x-3-unidades.producto?384108,,42"
Empanadas de Queso y Aceituna POLAR FOOD x 3 un. 210 g,artico,artico,,179,,,,,,,disco,212034,https://www.disco.com.uy/product/empanadas-de-queso-y-aceituna-polar-food-x-3-un-210-g/212034
Empanadas de Queso y Aceitunas PAGNIFIQUE x 3 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,384110,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-queso-y-aceitunas-pagnifique-x-3-unidades.producto?384110,,42"
Empanadas de Queso y Aceitunas TIENDA INGLESA (6 un.) 420 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1545473,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-queso-y-aceitunas-tienda-inglesa-6-un.-420-g.producto?1545473,,42"
Empanadas de Queso y Cebolla HAMBY x 3 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1535425,"https://www.tiendainglesa.com.uy/supermercado/empanadas-de-queso-y-cebolla-hamby-x-3-unidades.producto?1535425,,42"
Empanadas espinaca y queso HAMBY x 3 un. 210 g,artico,artico,,206,,,,,,,disco,241067,https://www.disco.com.uy/product/empanadas-espinaca-y-queso-hamby-x-3-un-210-g/241067
Empanadas HAMBY de Carne x 3 en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1535424,"https://www.tiendainglesa.com.uy/supermercado/empanadas-hamby-de-carne-x-3.producto?1535424,,42"
Empanadas HAMBY de Jamón y Queso x 3 en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1535423,"https://www.tiendainglesa.com.uy/supermercado/empanadas-hamby-de-jamon-y-queso-x-3.producto?1535423,,42"
Empanadas HAMBY Napolitana x 3 en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1535421,"https://www.tiendainglesa.com.uy/supermercado/empanadas-hamby-napolitana-x-3.producto?1535421,,42"
Empanadas jamón y queso HAMBY 9 un.,artico,artico,,512,,,,,,,disco,234007,https://www.disco.com.uy/product/empanadas-jamon-y-queso-hamby-9-un/234007
Empanadas jamón y queso HAMBY x 3 un. 210 g,artico,artico,,206,,,,,,,disco,241290,https://www.disco.com.uy/product/empanadas-jamon-y-queso-hamby-x-3-un-210-g/241290
Empanadas lomito cheddar SARUBBI x 5 350 g,artico,artico,,438,,,,,,,disco,241659,https://www.disco.com.uy/product/empanadas-lomito-cheddar-sarubbi-x-5-350-g/241659
Empanadas mix BLÉ 10 un. 800 g,artico,artico,,499,,,,,,,disco,242584,https://www.disco.com.uy/product/empanadas-mix-ble-10-un-800-g/242584
Empanadas napolitanas HAMBY x 3 un. 210 g,artico,artico,,206,,,,,,,disco,241073,https://www.disco.com.uy/product/empanadas-napolitanas-hamby-x-3-un-210-g/241073
Empanadas PAGNIFIQUE carne suave x 3 un. 210 g,artico,artico,,198,,,,,,,disco,231023,https://www.disco.com.uy/product/empanadas-pagnifique-carne-suave-x-3-un-210-g/231023
Empanadas PAGNIFIQUE Jamón y queso x 3 un. 210 g,artico,artico,,198,,,,,,,disco,231021,https://www.disco.com.uy/product/empanadas-pagnifique-jamon-y-queso-x-3-un-210-g/231021
Empanadas PAGNIFIQUE pollo x 3 un. 210 g,artico,artico,,198,,,,,,,disco,231022,https://www.disco.com.uy/product/empanadas-pagnifique-pollo-x-3-un-210-g/231022
Empanadas SARUBBI Jamón y Queso (5 un.) 350 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1559958,"https://www.tiendainglesa.com.uy/supermercado/empanadas-sarubbi-jamon-y-queso-5-un.-350-g.producto?1559958,,42"
Empanadas SARUBBI Lomito y Cheddar (5 un.) 350 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1559960,"https://www.tiendainglesa.com.uy/supermercado/empanadas-sarubbi-lomito-y-cheddar-5-un.-350-g.producto?1559960,,42"
"Empanadas x 9 de Carne, Parmesano y Huevo HAMBY 630 gr en Tienda Inglesa",artico,artico,,,,,,,,,tiendainglesa,1129,"https://www.tiendainglesa.com.uy/supermercado/empanadas-x-9-de-carne-parmesano-y-huevo-hamby-630-gr.producto?1129,,42"
Empanadas x 9 de Jamón Cocido y Queso HAMBY 630 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1130,"https://www.tiendainglesa.com.uy/supermercado/empanadas-x-9-de-jamon-cocido-y-queso-hamby-630-gr.producto?1130,,42"
Ensalada dúo 150 g,artico,artico,,144,,,,,,,disco,441014,https://www.disco.com.uy/product/ensalada-duo-150-g/441014
"Ensalada premium zanahoria, repollo y remolacha 300 g",artico,artico,,69,,,,,,,disco,401741,https://www.disco.com.uy/product/ensalada-premium-zanahoria-repollo-y-remolacha-300-g/401741
Ensalada silvestre Club Verde lechuga rúcula cebolla cherry 200 g,artico,artico,,119,,,,,,,disco,440077,https://www.disco.com.uy/product/ensalada-silvestre-club-verde-lechuga-rucula-cebolla-cherry-200-g/440077
Esparragos congelados MINUTO VERDE 350 g,artico,artico,,327,,,,,,,disco,233010,https://www.disco.com.uy/product/esparragos-congelados-minuto-verde-350-g/233010
Espatula para hamburguesa 29x10 cm TRAMONTINA,artico,artico,,290,,,,,,,disco,306943,https://www.disco.com.uy/product/espatula-para-hamburguesa-29x10-cm-tramontina/306943
